Test completed successfully.
         110257 function calls (107810 primitive calls) in 20.070 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 function_base.py:26(linspace)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
      271    0.000    0.000    0.000    0.000 _parser.py:239(__next)
      265    0.000    0.000    0.000    0.000 overrides.py:107(array_function_dispatch)
      397    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      101    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
      250    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      122    0.000    0.000    0.000    0.000 _parser.py:175(append)
        1    0.000    0.000    0.000    0.000 _globals.py:66(_CopyMode)
        9    0.000    0.000    0.000    0.000 random.py:458(choices)
        6    0.000    0.000    0.000    0.000 connection.py:131(__del__)
      166    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      300    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       21    0.000    0.000    0.000    0.000 overrides.py:24(get_array_function_like_doc)
        2    0.000    0.000    0.000    0.000 enum.py:484(__prepare__)
       44    0.000    0.000    0.000    0.000 getlimits.py:103(_float_conv)
        4    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
        2    0.000    0.000    0.000    0.000 {function Random.seed at 0x1052aeb60}
        2    0.000    0.000    0.000    0.000 util.py:178(__init__)
       82    0.000    0.000    0.000    0.000 {built-in method numpy.array}
       38    0.000    0.000    0.000    0.000 getlimits.py:26(_fr1)
       12    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      373    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
        1    0.000    0.000    0.000    0.000 typing.py:797(_make_union)
        1    0.000    0.000    0.000    0.000 <frozen os>:44(_get_exports_list)
        1    0.000    0.000    0.000    0.000 _datasource.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mixins.py:59(NDArrayOperatorsMixin)
        4    0.000    0.000    0.000    0.000 typing.py:2073(__init__)
      150    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
       54    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        4    0.000    0.000    0.000    0.000 typing.py:1256(_generic_init_subclass)
        1    0.000    0.000    0.000    0.000 kalah.py:10(KalahGame)
       31    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      105    0.000    0.000    0.000    0.000 {method '__typing_prepare_subst__' of 'typing.TypeVar' objects}
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:1(<module>)
        9    0.000    0.000    0.000    0.000 tempfile.py:142(rng)
